"","game","platform","developer","genre","number_players","rating","release_date","positive_critics","neutral_critics","negative_critics","positive_users","neutral_users","negative_users","metascore","user_score"
"1","Portal 2","PC","Valve Software","Action","No Online Multiplayer","E10+",2011-04-18,51,1,0,1700,107,19,95,90
"2","The Elder Scrolls V: Skyrim","PC","Bethesda Game Studios","Role-Playing","No Online Multiplayer","M",2011-11-10,32,0,0,1616,322,451,94,82
"3","The Legend of Zelda: Ocarina of Time 3D","3DS","GREZZO","Miscellaneous","No Online Multiplayer","E10+",2011-06-19,84,1,0,283,20,5,94,90
"4","Batman: Arkham City","PC","Rocksteady Studios","Action Adventure","No Online Multiplayer","T",2011-11-21,27,0,0,240,34,27,91,87
"5","Super Mario 3D Land","3DS","Nintendo","Action","No Online Multiplayer","E",2011-11-13,81,1,0,251,39,11,90,84
"6","Deus Ex: Human Revolution","PC","Nixxes Software","Action","No Online Multiplayer","M",2011-08-23,52,0,0,520,112,78,90,85
"7","Pushmo","3DS","Intelligent Systems","Miscellaneous","1 Player","E",2011-12-08,31,0,0,34,4,2,90,83
"8","Total War: Shogun 2","PC","Creative Assembly","Strategy","Online Multiplayer","T",2011-03-15,62,0,0,187,44,29,90,84
"9","FIFA Soccer 12","PC","Electronic Arts","Sports","Online Multiplayer","E",2011-09-27,14,0,0,33,8,10,89,71
"10","Battlefield 3","PC","EA DICE","Action","No Online Multiplayer","M",2011-10-25,60,1,0,1061,191,271,89,76
"11","LIMBO","PC","PLAYDEAD","Action","No Online Multiplayer","T",2011-08-02,22,0,0,190,63,25,88,81
"12","Assassin's Creed: Brotherhood","PC","Ubisoft Montreal","Action Adventure","No Online Multiplayer","M",2011-03-22,24,0,0,107,34,13,88,82
"13","The Witcher 2: Assassins of Kings","PC","CD Projekt Red Studio","Role-Playing","No Online Multiplayer","M",2011-05-17,70,6,0,1155,127,77,88,85
"14","Dead Space 2","PC","Visceral Games","Action","No Online Multiplayer","M",2011-01-25,27,1,0,128,31,12,87,84
"15","Bastion","PC","Supergiant Games","Action","No Online Multiplayer","E10+",2011-08-16,16,1,0,302,51,12,86,85
"16","Crysis 2","PC","Crytek","Action","No Online Multiplayer","M",2011-03-22,39,3,0,202,119,120,86,68
"17","DiRT 3","PC","Codemasters","Driving","Online Multiplayer","T",2011-05-23,21,2,0,48,30,31,86,70
"18","Battlefield 3: Back to Karkand","PC","EA DICE","Action","Online Multiplayer","M",2011-12-13,8,1,0,22,8,6,86,72
"19","Super Street Fighter IV: 3D Edition","3DS","Capcom","Action","No Online Multiplayer","T",2011-03-27,67,2,0,43,9,2,85,80
"20","Frozen Synapse","PC","Mode 7 Games","Strategy","2 ","T",2011-05-26,24,3,0,43,6,10,85,76
"21","Mario Kart 7","3DS","Retro Studios, Entertainment Analysis & Development Division","Driving","Up to 8 ","E",2011-12-04,64,9,0,157,45,7,85,83
"22","Star Wars: The Old Republic","PC","LucasArts, BioWare","Sci-Fi","Massively Multiplayer","T",2011-12-20,68,5,0,646,216,490,85,59
"23","Saints Row: The Third","PC","Volition Inc.","Action Adventure","2 ","M",2011-11-14,20,2,0,219,63,24,84,81
